,Job Category,Job Title,Company Name,Location,Summary,Date,URL
428,Business Intelligence,Operational Analytics Analysts - World Class Bank,Hays,Hong Kong,"Having education in Management Information Systems, Business Intelligence, Marketing Management or equivalent....",30+ days ago,https://www.indeed.hk/rc/clk?jk=0b52c911bdc1cbc9&fccid=31670bef3ae6497b&vjs=3
429,Business Intelligence,"Business Intelligence Analysts (Tableau, R)",Hays,Hong Kong,"Having education in in Management Information Systems, Business Intelligence, Data Science or equivalent. 2-5 years of experience in business intelligence, MIS...",30+ days ago,https://www.indeed.hk/rc/clk?jk=98232933504d80c4&fccid=31670bef3ae6497b&vjs=3
430,Business Intelligence,IT Business Analyst,Crown Relocations,Hong Kong,"The position is primarily responsible for the documentation of requirements for Crown’s in-house developed line of business applications, business intelligence...",,https://www.indeed.hk/rc/clk?jk=a1b3c875a65dbe17&fccid=aeccba4788ea46be&vjs=3
431,Business Intelligence,"Senior Consultant, Global Risk & Investigations Practice (Hong Kong)","FTI Consulting, Inc.",Hong Kong,Business intelligence to support decisions during transactions; Collection and analysis of information from research of public-domain sources to support on...,,https://www.indeed.hk/rc/clk?jk=0d35c9bd3d8541d8&fccid=a51fd46bede29189&vjs=3
432,Business Intelligence,"SAP Business Analyst, HCM",Mandurah Consultancy,Hong Kong,"Participate in the development and management of HR Business Intelligence Tool, including but not limited to data transformation / extraction, dashboard...",,https://www.indeed.hk/rc/clk?jk=37d6876e5f486a32&fccid=524923cc2e0ed901&vjs=3
433,Business Intelligence,Business Intelligence Developer - IoT company,Hays,Hong Kong,They are looking for an business intelligence developer to focus on providing technical services to customers....,,https://www.indeed.hk/rc/clk?jk=280df7ec212c4507&fccid=31670bef3ae6497b&vjs=3
439,Business Intelligence,"Associate Director, Analytics - Tech Firm",Hays,Hong Kong,"Managing staff who work in data engineering, business intelligence and data science. Experience in developing complex machine learning algorithms and applying...",30+ days ago,https://www.indeed.hk/rc/clk?jk=dde6a71ba0356210&fccid=31670bef3ae6497b&vjs=3
440,Business Intelligence,Data Architect / Development Lead / BI Developer,Seamatch Asia,Hong Kong,"Database and data-warehousing including Oracle RDBMS, NoSQL, Business Intelligence, Dashboard design & development,....",30+ days ago,https://www.indeed.hk/rc/clk?jk=4fe8701646dbad56&fccid=f4b6db984c9a7118&vjs=3
441,Business Intelligence,Senior AP (Enterprise Information System),Pacific Careers,Hong Kong,Possess knowledgeable skills in Data Warehouse (DWH) and Business Intelligence (BI) solution is an advantage....,30+ days ago,https://www.indeed.hk/rc/clk?jk=ffac02d1cab303a3&fccid=8aa104e7f8db0cd3&vjs=3
442,Business Intelligence,Senior BI Specialist,Robert Walters,"Wong Chuk Hang, Hong Kong Island",Minimum 3 years of solid experience in business intelligence tools. Assist in database and business objects application. Location Wong Chuk Hang....,30+ days ago,https://www.indeed.hk/rc/clk?jk=4e058fb6a80c5433&fccid=f01c2f55ec3054bf&vjs=3
443,Business Intelligence,System Analyst,Dairy Farm,"Quarry Bay, Hong Kong Island",Strong Cost/Benefit focus to ensure effort is focused on true business value. University graduate with a degree preferably in Computer Science or a related...,30+ days ago,https://www.indeed.hk/rc/clk?jk=49fa996e1b5ba1d3&fccid=9ee391c71139a16a&vjs=3
444,Business Intelligence,research executive - financial forum 18-22k,Randstad,Hong Kong,"Our client is a global company providing business intelligence, advisory and consultation services. About the company....",30+ days ago,https://www.indeed.hk/rc/clk?jk=53c3784d19cfd414&fccid=f8b265243da9f9d7&vjs=3
445,Business Intelligence,Head of Digital Analytics - Growing Retail Bank,Hays,Hong Kong,Experience with SQL for Business Intelligence purposes. A business mindset with an analytics background. They offer a range of retail banking products and this...,,https://www.indeed.hk/rc/clk?jk=39416b55c450840b&fccid=31670bef3ae6497b&vjs=3
446,Business Intelligence,Senior Business Analytical Executive – Retail Business Intelligence,Mandurah Consultancy,Kowloon,"Build, review and modify the business intelligence tools to effective the data sourcing and analysis process....",,https://www.indeed.hk/rc/clk?jk=75eff449e21ce622&fccid=524923cc2e0ed901&vjs=3
447,Business Intelligence,APJ Solution Specialist - Manufacturing & Retail (Japanese speaker),Informatica,"Quarry Bay, Hong Kong Island",Good business acumen across various industries. The ideal candidate should be comfortable engaging with senior management of both Business and IT to explain how...,,https://www.indeed.hk/rc/clk?jk=60b2b554d88456a2&fccid=f745426798e2bad8&vjs=3
448,Business Intelligence,sales director - business intelligence,Randstad,Hong Kong Island,Proven experience in generating new business. Build and drive new revenue streams for the business. Define the sales and growth strategy for the financial data...,,https://www.indeed.hk/rc/clk?jk=84731bc9b1536ab5&fccid=f8b265243da9f9d7&vjs=3
454,Business Intelligence,Regional Financial Analyst - List Company(Up to 35K),Page Personnel,"Central and Western District, Hong Kong Island",Manage P/L and business planning. Specialisation:Financial Analyst / Business Analyst. Coordinate business intelligence across global and regional platform...,30+ days ago,https://www.indeed.hk/rc/clk?jk=ff76a81b4954a59a&fccid=e5ea1ff710ce39ca&vjs=3
455,Business Intelligence,Senior IT Consultant - Hotel Industry (Japanese speaking) Based in Hong Kong,W-Consulting Company Ltd.,Hong Kong,Business intelligence applications like Cognos Report and Web Services integration is nice to have. Our client is one of the largest Global Vendor of enterprise...,30+ days ago,https://www.indeed.hk/rc/clk?jk=b9186933dfe73a6e&fccid=ddb41feb743aaf23&vjs=3
456,Business Intelligence,crm/loyalty/consumer behaviour research (sql)(up to $45k),Randstad,"Central and Western District, Hong Kong Island","Study Business Intelligence tools for data analytics and conduct research studies for various projects. Minimum 7 years’ experience in managing data warehouse,...",30+ days ago,https://www.indeed.hk/rc/clk?jk=5e6abd0a854cb458&fccid=f8b265243da9f9d7&vjs=3
457,Business Intelligence,Senior Manager – Retail Business Intelligence / Sales & Consumer Market Analysis,Mandurah Consultancy,Kowloon,Hands on experience on Intelligence Tool (Qilkview) with business system enhancement experience is an advantage....,30+ days ago,https://www.indeed.hk/rc/clk?jk=f1a336633582da53&fccid=524923cc2e0ed901&vjs=3
458,Business Intelligence,"marketing manager, b2b go-to-market $30-45k",Randstad,"Central and Western District, Hong Kong Island","Excellent in preparing management presentation, data analysis and business intelligence tools. University graduate in Marketing, Business Administration or...",30+ days ago,https://www.indeed.hk/rc/clk?jk=cb87b1524291f100&fccid=f8b265243da9f9d7&vjs=3
459,Business Intelligence,"sales manager - subscription product, 600-660k ote",Randstad,Hong Kong,Our client is a global company providing business intelligence and information to various professional sectors....,30+ days ago,https://www.indeed.hk/rc/clk?jk=008a768920e496ea&fccid=f8b265243da9f9d7&vjs=3
460,Business Intelligence,Data Analyst (0682),Bupa 保柏,Hong Kong,"Undergraduate degree in Statistics, Data Analysis, Business Intelligence or related discipline. Make recommendation on business analytic system requirement and...",,https://www.indeed.hk/rc/clk?jk=caef8dfbdde86480&fccid=18a7374fde10337f&vjs=3
